Global Step,Loss
1,6.230214786529541
2,2.7774455547332764
3,2.3483312129974365
4,2.0731432676315307
5,2.002473497390747
6,1.906733751296997
7,1.8974072217941285
8,1.8558180809020997
9,2.0004274606704713
10,1.7427518367767334
11,1.7249202728271484
12,1.6022140979766846
13,1.6235278844833374
14,1.5888603687286378
15,1.5369006156921388
16,1.5991430282592773
17,1.613108515739441
18,1.5499691009521483
19,1.5236299276351928
20,1.5327068090438842
21,1.535739016532898
22,1.5576791286468505
23,1.5256048917770386
24,1.4992705821990966
25,1.5343569755554198
26,1.4915282726287842
27,1.4823045015335083
28,1.469602394104004
29,1.459065842628479
30,1.450889563560486
31,1.5041476488113403
32,1.441804337501526
33,1.4589901685714721
34,1.4555742025375367
35,1.4484890222549438
36,1.4649164199829101
